date,NO2_column_number_density
2022-12-31 22:59:00+00:00,4.9e-05
2023-01-01 22:38:59+00:00,6.1e-05
2023-01-02 22:24:00+00:00,3.6e-05
2023-01-03 23:44:00+00:00,3.5e-05
2023-01-04 23:24:00+00:00,5.2e-05
2023-01-05 23:03:59+00:00,5e-05
2023-01-06 22:48:59+00:00,4.4e-05
2023-01-07 22:28:59+00:00,5e-05
2023-01-08 23:49:00+00:00,2.9e-05
2023-01-09 23:29:00+00:00,4.4e-05
2023-01-10 23:14:00+00:00,4.1e-05
2023-01-11 22:53:59+00:00,4.1e-05
2023-01-12 22:33:59+00:00,3.1e-05
2023-01-13 22:13:59+00:00,6.1e-05
2023-01-13 22:18:59+00:00,6.5e-05
2023-01-16 23:01:21+00:00,4.4e-05
2023-01-17 22:43:01+00:00,4.6e-05
2023-01-18 22:23:00+00:00,3.4e-05
2023-01-19 23:43:00+00:00,5.1e-05
2023-01-20 23:23:01+00:00,5e-05
2023-01-21 23:08:00+00:00,3.1e-05
2023-01-22 22:48:00+00:00,7.4e-05
2023-01-23 22:28:00+00:00,4.4e-05
2023-01-25 23:33:01+00:00,3.2e-05
2023-01-26 23:13:00+00:00,4.2e-05
2023-01-27 22:53:01+00:00,5.7e-05
2023-01-28 22:33:00+00:00,2.8e-05
2023-01-29 22:18:00+00:00,4.5e-05
2023-01-30 23:38:00+00:00,3.5e-05
2023-01-31 23:18:00+00:00,4.9e-05
2023-02-01 22:58:00+00:00,6.8e-05
2023-02-02 22:43:00+00:00,4.6e-05
2023-02-05 23:23:01+00:00,6.3e-05
2023-02-06 23:08:01+00:00,3.8e-05
2023-02-07 22:48:00+00:00,5.8e-05
2023-02-08 22:28:01+00:00,6.5e-05
2023-02-09 23:48:00+00:00,3.2e-05
2023-02-10 23:33:00+00:00,5.3e-05
2023-02-11 23:13:01+00:00,5.1e-05
2023-02-12 22:53:01+00:00,4.5e-05
2023-02-13 22:33:01+00:00,4.8e-05
2023-02-14 22:18:01+00:00,2.5e-05
2023-02-15 23:38:00+00:00,4.4e-05
2023-02-16 23:18:01+00:00,4.8e-05
2023-02-17 22:58:01+00:00,3.2e-05
2023-02-18 22:43:01+00:00,4.2e-05
2023-02-19 22:23:01+00:00,3.9e-05
2023-02-20 23:43:00+00:00,6.8e-05
2023-02-21 23:23:00+00:00,5.9e-05
2023-02-22 23:08:00+00:00,4.7e-05
2023-02-24 22:28:00+00:00,5.3e-05
2023-02-25 23:48:01+00:00,4.3e-05
2023-02-26 23:33:00+00:00,2.8e-05
2023-02-27 23:13:00+00:00,4.5e-05
2023-02-28 22:53:00+00:00,4e-05
2023-03-01 22:33:00+00:00,4.7e-05
2023-03-02 22:18:00+00:00,3.6e-05
2023-03-03 23:38:00+00:00,4e-05
2023-03-04 23:18:00+00:00,3.6e-05
2023-03-05 22:58:00+00:00,5e-05
2023-03-06 22:43:00+00:00,4e-05
2023-03-07 22:23:01+00:00,3.7e-05
2023-03-08 23:43:00+00:00,4.9e-05
2023-03-09 23:23:00+00:00,4.3e-05
2023-03-10 23:08:00+00:00,5.3e-05
2023-03-11 22:48:01+00:00,7.3e-05
2023-03-12 22:28:01+00:00,2.5e-05
2023-03-13 23:48:00+00:00,5.1e-05
2023-03-15 23:10:07+00:00,7.8e-05
2023-03-17 22:32:43+00:00,5e-05
2023-03-18 22:14:16+00:00,6.7e-05
2023-03-20 23:19:16+00:00,7.9e-05
2023-03-21 22:59:17+00:00,6.9e-05
2023-03-22 22:39:17+00:00,8.7e-05
2023-03-23 22:24:16+00:00,4.9e-05
2023-03-25 23:24:17+00:00,8.1e-05
2023-03-26 23:04:17+00:00,7.3e-05
2023-03-27 22:49:17+00:00,4.3e-05
2023-03-28 22:29:16+00:00,2e-05
2023-03-29 23:49:16+00:00,3.5e-05
2023-03-30 23:29:17+00:00,3e-05
2023-03-31 23:14:17+00:00,3.7e-05
2023-04-02 22:34:16+00:00,3.6e-05
2023-04-05 23:19:17+00:00,2.9e-05
2023-04-06 22:59:16+00:00,1.5e-05
2023-04-07 22:39:17+00:00,4.2e-05
2023-04-07 22:44:16+00:00,4.2e-05
2023-04-08 22:24:16+00:00,2.8e-05
2023-04-10 23:24:16+00:00,1.9e-05
2023-04-12 22:49:16+00:00,6.3e-05
2023-04-13 22:29:17+00:00,6e-05
2023-04-14 23:49:16+00:00,3.9e-05
2023-04-15 23:34:17+00:00,4.2e-05
2023-04-17 22:54:16+00:00,6e-05
2023-04-18 22:34:16+00:00,6.5e-05
2023-04-20 23:39:16+00:00,4.3e-05
2023-04-21 23:19:17+00:00,6e-05
2023-04-22 22:59:16+00:00,9.2e-05
2023-04-23 22:44:16+00:00,6.3e-05
2023-04-24 22:24:16+00:00,5.2e-05
2023-04-25 23:44:16+00:00,6.2e-05
2023-04-26 23:24:16+00:00,6.3e-05
2023-04-27 23:09:16+00:00,7.7e-05
2023-04-28 22:49:17+00:00,4e-05
2023-04-29 22:29:17+00:00,4.3e-05
2023-04-30 23:49:17+00:00,4.6e-05
2023-05-01 23:34:17+00:00,5.6e-05
2023-05-02 23:14:16+00:00,9.2e-05
2023-05-03 22:54:16+00:00,6.3e-05
2023-05-04 22:34:16+00:00,6.2e-05
2023-05-05 22:19:16+00:00,6.1e-05
2023-05-06 23:39:16+00:00,4.8e-05
2023-05-07 23:19:16+00:00,9e-05
2023-05-08 22:59:16+00:00,7.7e-05
2023-05-09 22:44:16+00:00,5.9e-05
2023-05-10 22:24:16+00:00,5.2e-05
2023-05-11 23:44:17+00:00,5.6e-05
2023-05-12 23:24:16+00:00,4.4e-05
2023-05-13 23:09:17+00:00,2.8e-05
2023-05-14 22:49:16+00:00,6.3e-05
2023-05-15 22:29:16+00:00,3e-05
2023-05-16 23:49:17+00:00,5.7e-05
2023-05-17 23:34:17+00:00,5.1e-05
2023-05-18 23:13:59+00:00,0.000118
2023-05-19 22:53:59+00:00,6.7e-05
2023-05-20 22:33:59+00:00,7.7e-05
2023-05-21 22:18:44+00:00,6.5e-05
2023-05-22 23:38:44+00:00,8.9e-05
2023-05-23 23:18:43+00:00,8.7e-05
2023-05-24 22:58:43+00:00,7.2e-05
2023-05-25 22:43:43+00:00,7.9e-05
2023-05-26 22:23:44+00:00,6.9e-05
2023-05-27 23:43:43+00:00,5.1e-05
2023-05-28 23:23:44+00:00,8.5e-05
2023-05-28 23:28:44+00:00,8.5e-05
2023-05-29 23:08:44+00:00,7e-05
2023-05-30 22:48:43+00:00,0.000102
2023-05-31 22:28:43+00:00,7.8e-05
2023-06-01 23:48:44+00:00,6.8e-05
2023-06-01 23:53:44+00:00,6.8e-05
2023-06-02 23:33:43+00:00,6e-05
2023-06-03 23:13:44+00:00,5.5e-05
2023-06-04 22:53:43+00:00,6.5e-05
2023-06-05 22:33:43+00:00,4.6e-05
2023-06-06 22:18:43+00:00,5.7e-05
2023-06-07 23:38:43+00:00,8.3e-05
2023-06-08 23:18:43+00:00,7e-05
2023-06-09 22:58:43+00:00,0.000122
2023-06-10 22:43:43+00:00,7.6e-05
2023-06-11 22:23:43+00:00,6.3e-05
2023-06-12 23:43:43+00:00,8.5e-05
2023-06-13 23:23:44+00:00,9.6e-05
2023-06-14 23:08:43+00:00,0.000101
2023-06-15 22:48:43+00:00,7.5e-05
2023-06-16 22:28:43+00:00,6.6e-05
2023-06-17 23:48:43+00:00,4.6e-05
2023-06-18 23:33:43+00:00,5.8e-05
2023-06-19 23:13:43+00:00,6.5e-05
2023-06-20 22:53:44+00:00,8.4e-05
2023-06-21 22:33:43+00:00,6.3e-05
2023-06-22 22:18:43+00:00,7.6e-05
2023-06-23 23:38:43+00:00,9e-05
2023-06-24 23:18:43+00:00,5.9e-05
2023-06-25 22:58:43+00:00,6.2e-05
2023-06-26 22:43:43+00:00,6.2e-05
2023-06-27 22:23:43+00:00,5.3e-05
2023-06-28 23:43:43+00:00,5.7e-05
2023-06-29 23:23:43+00:00,5e-05
2023-06-30 23:08:44+00:00,4.6e-05
2023-07-01 22:48:43+00:00,6.2e-05
2023-07-02 22:28:43+00:00,6.7e-05
2023-07-03 23:48:44+00:00,7.6e-05
2023-07-04 23:33:44+00:00,6.8e-05
2023-07-05 23:11:01+00:00,5.6e-05
2023-07-06 22:56:01+00:00,6.6e-05
2023-07-07 22:36:01+00:00,7.4e-05
2023-07-08 22:16:01+00:00,6.1e-05
2023-07-09 23:36:02+00:00,6.5e-05
2023-07-10 23:17:38+00:00,6.4e-05
2023-07-11 23:02:39+00:00,9.6e-05
2023-07-12 22:42:38+00:00,4.8e-05
2023-07-13 22:22:38+00:00,5.4e-05
2023-07-14 23:42:38+00:00,8.4e-05
2023-07-15 23:27:38+00:00,6.9e-05
2023-07-16 23:07:38+00:00,0.000114
2023-07-17 22:47:38+00:00,0.000111
2023-07-20 23:28:56+00:00,6.1e-05
2023-07-20 23:33:56+00:00,5.9e-05
2023-07-21 23:13:57+00:00,0.000133
2023-07-22 22:53:57+00:00,9.9e-05
2023-07-23 22:33:57+00:00,8.8e-05
2023-07-24 22:18:57+00:00,6.9e-05
2023-07-25 23:38:56+00:00,5.7e-05
2023-07-26 23:18:56+00:00,0.000105
2023-07-27 22:58:56+00:00,0.000115
2023-07-28 22:38:57+00:00,7.2e-05
2023-07-29 22:23:57+00:00,6.2e-05
2023-07-30 23:43:56+00:00,8e-05
2023-07-31 23:23:56+00:00,7.3e-05
2023-08-01 23:03:56+00:00,9.4e-05
2023-08-02 22:48:56+00:00,8.8e-05
2023-08-03 22:28:56+00:00,7e-05
2023-08-04 23:48:56+00:00,7.2e-05
2023-08-05 23:28:56+00:00,6.8e-05
2023-08-06 23:13:56+00:00,9e-05
2023-08-07 22:54:53+00:00,9.7e-05
2023-08-08 22:36:26+00:00,9.3e-05
2023-08-09 22:17:09+00:00,6.3e-05
2023-08-10 23:37:51+00:00,6.4e-05
2023-08-11 23:20:03+00:00,7.8e-05
2023-08-12 23:00:08+00:00,8.8e-05
2023-08-13 22:41:45+00:00,8.6e-05
2023-08-15 23:40:42+00:00,6.5e-05
2023-08-15 23:45:42+00:00,6.4e-05
2023-08-16 23:24:43+00:00,4.4e-05
2023-08-17 23:04:43+00:00,5.2e-05
2023-08-18 22:44:43+00:00,6.7e-05
2023-08-19 22:29:44+00:00,7.5e-05
2023-08-20 23:49:44+00:00,6e-05
2023-08-21 23:29:43+00:00,4.4e-05
2023-08-22 23:09:43+00:00,8.6e-05
2023-08-23 22:54:43+00:00,0.000126
2023-08-24 22:34:44+00:00,9e-05
2023-08-25 22:14:43+00:00,7.5e-05
2023-08-26 23:34:43+00:00,5.8e-05
2023-08-27 23:19:44+00:00,7.7e-05
2023-08-28 22:59:43+00:00,0.000134
2023-08-29 22:39:44+00:00,7.8e-05
2023-08-30 22:19:44+00:00,5.7e-05
2023-08-31 23:44:43+00:00,7.9e-05
2023-09-01 23:24:44+00:00,9.4e-05
2023-09-02 23:06:35+00:00,0.000128
2023-09-03 22:47:24+00:00,0.0001
2023-09-04 22:27:24+00:00,8e-05
2023-09-05 23:47:25+00:00,7.8e-05
2023-09-06 23:32:25+00:00,6.3e-05
2023-09-07 23:12:25+00:00,5e-05
2023-09-08 22:52:24+00:00,9.5e-05
2023-09-09 22:32:25+00:00,8.4e-05
2023-09-10 22:17:24+00:00,0.000109
2023-09-11 23:37:24+00:00,6.4e-05
2023-09-12 23:17:24+00:00,6.6e-05
2023-09-13 22:57:25+00:00,4.3e-05
2023-09-14 22:42:24+00:00,6.5e-05
2023-09-15 22:22:24+00:00,6.8e-05
2023-09-16 23:42:25+00:00,4.9e-05
2023-09-17 23:22:24+00:00,5.2e-05
2023-09-18 23:07:24+00:00,6.5e-05
2023-09-19 22:47:24+00:00,7.2e-05
2023-09-20 22:27:24+00:00,6.8e-05
2023-09-21 23:47:24+00:00,7.4e-05
2023-09-22 23:32:25+00:00,8.5e-05
2023-09-23 23:12:25+00:00,9.9e-05
2023-09-24 22:52:25+00:00,9.1e-05
2023-09-25 22:32:24+00:00,9.3e-05
2023-09-26 22:17:24+00:00,8.6e-05
2023-09-27 23:37:24+00:00,8e-05
2023-09-28 23:17:24+00:00,0.000111
2023-09-29 22:57:24+00:00,8.1e-05
2023-09-30 22:42:24+00:00,7.6e-05
2023-10-01 22:22:25+00:00,5.2e-05
2023-10-02 23:42:25+00:00,6.8e-05
2023-10-03 23:22:03+00:00,7.6e-05
2023-10-04 23:07:02+00:00,8e-05
2023-10-05 22:47:02+00:00,0.000117
2023-10-06 22:27:02+00:00,0.000104
2023-10-07 23:47:02+00:00,6.4e-05
2023-10-07 23:52:02+00:00,6.4e-05
2023-10-08 23:32:02+00:00,7.4e-05
2023-10-09 23:12:02+00:00,9.6e-05
2023-10-10 22:52:02+00:00,7.8e-05
2023-10-11 22:32:02+00:00,7.7e-05
2023-10-11 22:37:02+00:00,7.7e-05
2023-10-12 22:17:02+00:00,8.2e-05
2023-10-13 23:37:02+00:00,6.8e-05
2023-10-14 23:17:02+00:00,8.2e-05
2023-10-15 22:57:03+00:00,8.4e-05
2023-10-16 22:42:02+00:00,7.9e-05
2023-10-17 22:22:02+00:00,9.5e-05
2023-10-18 23:42:02+00:00,7.7e-05
2023-10-19 23:22:03+00:00,9.6e-05
2023-10-20 23:07:02+00:00,8.1e-05
2023-10-21 22:47:02+00:00,0.000103
2023-10-22 22:27:03+00:00,9.8e-05
2023-10-23 23:47:03+00:00,7.4e-05
2023-10-23 23:52:03+00:00,7.4e-05
2023-10-24 23:32:02+00:00,8.3e-05
2023-10-25 23:12:02+00:00,8.2e-05
2023-10-26 22:52:03+00:00,8.1e-05
2023-10-27 22:32:03+00:00,8.9e-05
2023-10-27 22:37:03+00:00,0.000104
2023-10-28 22:17:03+00:00,7.4e-05
2023-10-29 23:37:03+00:00,0.000109
2023-10-30 23:17:02+00:00,9e-05
2023-10-31 22:57:03+00:00,6.1e-05
2023-11-01 22:42:02+00:00,0.000112
2023-11-02 22:22:03+00:00,8e-05
